,point,latitude,longitude,altitude,opening_type,building_type,3d_point,closest_detected,distance_to_ground_truth,nearest_latitude,nearest_longitude,nearest_altitude
63,POINT (90024.44437008485 471552.0983467037),52.22820938386874,4.436167409356298,4.49,2nd floor window,k1,"[90024.44437008485, 471552.0983467037, 4.49]","[90023.58637563497, 471551.4203344205, 3.714581194855331]",1.3405705708847153,52.228203189594886,4.436154982806915,3.714581194855331
68,POINT (89987.92200390479 471588.9328749958),52.228536103489496,4.435625835386184,1.93,1st floor window,k3,"[89987.9220039048, 471588.9328749958, 1.93]","[89987.95034568643, 471588.3876449749, 2.062077964211528]",0.5617148928872916,52.228531206955616,4.435626354861291,2.062077964211528
69,POINT (89987.92200390479 471588.9328749958),52.228536103489496,4.435625835386184,4.45,2nd floor window,k3,"[89987.9220039048, 471588.9328749958, 4.45]","[89987.95215336277, 471588.3528694836, 4.601794338619685]",0.6002973473729363,52.228530894648244,4.4356263879940965,4.601794338619685
70,POINT (89987.60251721359 471595.0453426136),52.228590997370205,4.435619985996049,1.93,1st floor window,k3,"[89987.60251721359, 471595.0453426136, 1.93]","[89987.56857604889, 471595.6902877271, 2.017984463595461]",0.6518032432710592,52.22859678936379,4.435619365425308,2.017984463595461
71,POINT (89987.60251721359 471595.0453426136),52.228590997370205,4.435619985996049,4.45,2nd floor window,k3,"[89987.60251721359, 471595.0453426136, 4.45]","[89987.56989628033, 471595.6652008798, 4.065746777372107]",0.7300266670248654,52.228596564068845,4.435619389564052,4.065746777372107
72,POINT (89987.36286463964 471599.5890268416),52.22863180231397,4.435615606202799,1.93,1st floor window,k3,"[89987.36286463964, 471599.58902684157, 1.93]","[89987.34738977137, 471599.88176900963, 2.095554597131686]",0.3366686399753718,52.22863443130591,4.435615323515494,2.095554597131686
73,POINT (89987.36286463964 471599.5890268416),52.22863180231397,4.435615606202799,4.45,2nd floor window,k3,"[89987.36286463964, 471599.58902684157, 4.45]","[89987.34738188429, 471599.8819182122, 3.911896141322659]",0.6128465007174628,52.22863443264583,4.435615323371416,3.911896141322659
74,POINT (89987.06051284526 471605.3341601114),52.22868339705165,4.435610078092526,1.93,1st floor window,k3,"[89987.06051284526, 471605.33416011144, 1.93]","[89987.04215812209, 471605.6845237705, 4.071728702406553]",2.170274965110633,52.22868654353705,4.435609742193212,4.071728702406553
75,POINT (89987.06051284526 471605.3341601114),52.22868339705165,4.435610078092526,4.45,2nd floor window,k3,"[89987.06051284526, 471605.33416011144, 4.45]","[89987.04215812209, 471605.6845237705, 4.071728702406553]",0.5159270918036108,52.22868654353705,4.435609742193212,4.071728702406553
76,POINT (89986.82193537903 471609.8779009124),52.22872420262953,4.435605714003978,1.93,1st floor window,k3,"[89986.82193537903, 471609.87790091237, 1.93]","[89986.8352370428, 471609.62514272094, 2.0495698174662813]",0.2799295962279708,52.228721932709576,4.435605957209688,2.0495698174662813
77,POINT (89986.82193537903 471609.8779009124),52.22872420262953,4.435605714003978,4.45,2nd floor window,k3,"[89986.82193537903, 471609.87790091237, 4.45]","[89986.78874481336, 471610.5085881333, 5.640430277632495]",1.3475875593920301,52.22872986657849,4.435605107152305,5.640430277632495
79,POINT (89986.52466164198 471615.545027533),52.22877509693413,4.435600275166937,4.45,2nd floor window,k3,"[89986.52466164198, 471615.54502753296, 4.45]","[89986.52764087304, 471615.48806224903, 4.127048859648763]",0.32795023775794585,52.22877458534958,4.435600329706867,4.127048859648763
