neighborhood_name,population,safety_index,crime_index,nuisance_index,perceived_safety_index,hic_subindex,hvc_subindex,nuisance_by_people_subindex,deterioration_subindex,risk_perception_subindex,feelings_of_unsafety_subindex,avoidance_subindex
Grachtengordel-West,13191,85.57,45.18,127.71,83.81,40.34,50.02,152.66,102.76,105.9,82.31,63.2
Museumkwartier,11154,84.79,73.33,106.08,74.95,62.44,84.22,116.75,95.4,95.32,69.88,59.65
Westindische Buurt,14781,83.83,76.76,92.38,82.35,64.03,89.49,100.27,84.49,99.03,78.87,69.15
Apollobuurt,4759,82.8,67.66,103.52,77.22,45.17,90.15,98.28,108.75,99.83,67.52,64.32
Oostzanerwerf/Kadoelen,2378,81.9,54.56,97.06,94.07,48.91,60.22,72.72,121.39,94.35,88.44,99.42
Staatsliedenbuurt,3455,81.25,68.53,99.83,75.4,66.47,70.59,113.7,85.95,96.79,68.58,60.83
Sloter/Rierkpolder/Dorp Sloten,8665,80.41,64.19,83.52,93.52,73.71,54.68,79.15,87.88,95.52,89.92,95.12
Oostelijk Havengebied,8525,78.85,67.4,86.26,82.9,56.21,78.6,102.69,69.83,95.96,84.28,68.48
Aalsmeer  Hornmeer,7749,78.5,40.14,117.15,78.2,39.52,40.75,97.61,136.69,91.04,71.26,72.29
Meerwijk/Oude Dorp en Zijdelwaard,7663,78.11,41.3,94.51,98.51,55.86,26.74,84.03,104.99,96.64,91.59,107.29
Willemspark,10765,77.61,74.51,81.79,76.54,39.33,109.68,63.88,99.71,94.82,68,66.79
Frankendael,7132,76.65,67.84,85.46,76.67,58.06,77.62,87.69,83.22,92.11,73.67,64.21
Thamerdal/Industrie en Legmeer,4228,75.8,43,90.46,93.94,60.39,25.6,77.08,103.84,102.69,94.41,84.71
Diemen Centrum,3037,75.56,53.18,75.82,97.68,59.3,47.06,70.81,80.84,93.91,94.14,104.99
Buitenveldert-Oost,9794,75.13,49.03,74.96,101.4,36.32,61.73,76.12,73.79,93.37,99.53,111.3
Rijnbuurt,9336,74.43,31.84,102.49,88.96,20.14,43.54,114.75,90.24,99.42,80.03,87.43
Zuidas/Prinses Irenebuurt e.o.,11327,74.36,49.72,90.78,82.58,35.51,63.93,105.73,75.83,95.96,84.16,67.62
Overtoomse Sluis,1620,73.7,61.3,86.5,73.31,54.53,68.06,89.73,83.27,88.11,75.97,55.86
Tuindorp Ndam/Buiksloot/Ndammer-Buiksloterdijk,6820,73.32,28.24,87.45,104.27,28.68,27.8,61.48,113.41,97.1,96.7,119.01
Aalsmeer Centrum/Zuid,10205,71.87,46.63,88.24,80.74,51.04,42.23,75.57,100.91,88.1,71.96,82.14
Middenmeer,13680,71.08,65.17,70.17,77.92,60.05,70.28,68.13,72.21,88.17,74.73,70.85
Amstelveen Oud Zuid,23875,70.87,46.71,65.59,100.3,60.3,33.13,56.71,74.47,95.05,97.31,108.55
Diemen Noord,14270,70.78,45.73,81.36,85.26,46.26,45.21,70.4,92.31,87.05,76.6,92.11
Schinkelbuurt,20535,68.6,44.17,101.42,60.2,31.74,56.6,90.81,112.04,94.51,49.69,36.39
Scheldebuurt,13135,67.02,50.65,81.31,69.11,47.52,53.77,71.72,90.91,89.3,59.56,58.47
Amstelveen Oost,19715,62.96,41.71,71.3,75.87,51.81,31.61,64.83,77.77,79.85,71.16,76.62
Buitenveldert-West,5170,62.92,45.58,61.13,82.03,44.08,47.09,54.46,67.8,85.43,74.15,86.52
Amstelveen Noord,8840,61.09,39.72,54.54,89,38.53,40.92,47.22,61.86,92.69,82.67,91.64
Amstelveen Nieuw Zuid,11180,58.84,33.69,62.19,80.63,46.2,21.17,52.6,71.79,81.98,72.54,87.36
Driemond,13830,57.95,48.79,71.41,53.64,38.6,58.99,34.54,108.27,91.05,46.08,23.79
Amstelveen Westwijk e.o.,4445,54.03,30.13,56.18,75.77,26.29,33.98,43.68,68.69,90.44,70.03,66.83
Aalsmeer Oost,9270,52.29,23.95,59.93,72.99,20.94,26.95,54.86,64.99,89.54,70.51,58.9
Ouderkerk a/d Amstel,2530,48.38,23.13,56.91,65.09,25.54,20.72,45.24,68.58,85.23,53.65,56.38
De Kwakel,9865,47.78,18.95,57.22,67.17,13.75,24.15,57.4,57.04,80.46,62.46,58.58
Kudelstaart,10185,44.44,11.78,60.33,61.21,15.72,7.85,40.21,80.45,79.89,53.39,50.35
